"File","ItemName","Description"
"Serafin Botas III.asset","Botas de Pontifex Sanctus","Solo aquellos de corazon puro pueden empuniar este equipo celestial"
"Serafin Casco I.asset","Casco de Pontifex Sacrum","Creado con la esencia de estrellas caidas y bendiciones de seres divinos."
"Serafin Casco II.asset","Casco de Pontifex Divinus","El cielo mismo protege a quien porte este equipo con fe inquebrantable."
"Serafin Casco III.asset","Casco de Pontifex Sanctus","La luz divina emana de cada superficie de este equipo sagrado y puro."
"Serafin Cinturon I.asset","CinturÃ³n de Pontifex Sacrum","Los coros angelicales cantan cuando este equipo entra en el campo"
"Serafin Cinturon II.asset","CinturÃ³n de Pontifex Divinus","Los coros angelicales cantan cuando este equipo entra en el campo"
"Serafin Cinturon III.asset","CinturÃ³n de Pontifex Sanctus","Solo aquellos de corazon puro pueden empuniar este equipo celestial"
"Serafin Collar I.asset","Collar de Pontifex Sacrum","Un collar bendito por los serafines en los jardines del cielo."
"Serafin Collar II.asset","Collar de Pontifex Divinus","Cada pluma a\xF1adida otorga una bendicion divina al portador."
"Serafin Collar III.asset","Collar de Pontifex Sanctus","El collar de los serafines, s\xEDmbolo de pureza y poder celestial."
"Serafin Escudo I.asset","Escudo de Pontifex Sacrum","Creado con la esencia de estrellas caidas y bendiciones de seres divinos."
"Serafin Escudo II.asset","Escudo de Pontifex Divinus","Los coros angelicales cantan cuando este equipo entra en el campo"
"Serafin Escudo III.asset","Escudo de Pontifex Sanctus","Solo aquellos de corazon puro pueden empuniar este equipo celestial"
"Serafin Guantes I.asset","Guantes de Pontifex Sacrum","Forjado en los talleres del cielo donde los angeles crean armas divinas."
"Serafin Guantes II.asset","Guantes de Pontifex Divinus","Forjado en los talleres del cielo donde los angeles crean armas divinas."
"Serafin Guantes III.asset","Guantes de Pontifex Sanctus","Solo aquellos de corazon puro pueden empuniar este equipo celestial"
"Serafin Montura I.asset","Montura de Pontifex Sacrum","Un corcel divino forjado en los talleres celestiales de los angeles."
"Serafin Montura II.asset","Montura de Pontifex Divinus","La montura serafica que puede volar entre las nubes del cielo."
"Serafin Montura III.asset","Montura de Pontifex Sanctus","El corcel de los serafines, que lleva a su jinete a las alturas divinas."
"Titan Anillo I.asset","Anillo de Colossus Moles","Un anillo que canaliza el poder inmenso de los titanes."
"Titan Anillo II.asset","Anillo de Colossus Titanus","La fuerza de los gigantes fluye a trav\xE9s de este anillo legendario."
"Titan Anillo III.asset","Anillo de Colossus Colossus","El anillo de los titanes, que otorga poder sobre la creacion misma."
"Titan Arma I.asset","Arma de Colossus Moles","Creado en la era cuando los gigantes caminaban sobre el mundo mortal."
"Titan Arma II.asset","Arma de Colossus Titanus","Los titanes antiguos bendijeron este equipo con fuerza primordial"
"Titan Arma III.asset","Arma de Colossus Colossus","Cuenta la leyenda que quien lo porte obtendra poder sobre la tierra."
"Titan Armadura I.asset","Armadura de Colossus Moles","Cuenta la leyenda que quien lo porte obtendra poder sobre la tierra."
"Titan Armadura II.asset","Armadura de Colossus Titanus","La fuerza de los colosos ancestrales fluye a traves de cada pieza."
"Titan Armadura III.asset","Armadura de Colossus Colossus","Cuenta la leyenda que quien lo porte obtendra poder sobre la tierra."
"Titan Botas I.asset","Botas de Colossus Moles","Forjado con fragmentos de armaduras de los titanes que crearon el"
"Titan Botas II.asset","Botas de Colossus Titanus","Cuenta la leyenda que quien lo porte obtendra poder sobre la tierra."
"Titan Botas III.asset","Botas de Colossus Colossus","Solo los guerreros mas poderosos pueden soportar el peso de esta leyenda."
"Titan Casco I.asset","Casco de Colossus Moles","Creado en la era cuando los gigantes caminaban sobre el mundo mortal."
"Titan Casco II.asset","Casco de Colossus Titanus","Creado en la era cuando los gigantes caminaban sobre el mundo mortal."
"Titan Casco III.asset","Casco de Colossus Colossus","El trueno y la montania obedecen a quien porte este equipo titanico."
"Titan Cinturon I.asset","CinturÃ³n de Colossus Moles","Solo los guerreros mas poderosos pueden soportar el peso de esta leyenda."
"Titan Cinturon II.asset","CinturÃ³n de Colossus Titanus","Solo los guerreros mas poderosos pueden soportar el peso de esta leyenda."
"Titan Cinturon III.asset","CinturÃ³n de Colossus Colossus","La fuerza de los colosos ancestrales fluye a traves de cada pieza."
"Titan Collar I.asset","Collar de Colossus Moles","Un collar creado con fragmentos de las armaduras de los titanes primigenios."
"Titan Collar II.asset","Collar de Colossus Titanus","Cada gema contiene el poder de un titan ancestral."
"Titan Collar III.asset","Collar de Colossus Colossus","El collar de los titanes, que otorga la fuerza de quienes crearon"
"Titan Escudo I.asset","Escudo de Colossus Moles","Forjado con fragmentos de armaduras de los titanes que crearon el"
"Titan Escudo II.asset","Escudo de Colossus Titanus","El trueno y la montania obedecen a quien porte este equipo titanico."
"Titan Escudo III.asset","Escudo de Colossus Colossus","El trueno y la montania obedecen a quien porte este equipo titanico."
"Titan Guantes I.asset","Guantes de Colossus Moles","Forjado con fragmentos de armaduras de los titanes que crearon el"
"Titan Guantes II.asset","Guantes de Colossus Titanus","Los titanes antiguos bendijeron este equipo con fuerza primordial"
"Titan Guantes III.asset","Guantes de Colossus Colossus","El trueno y la montania obedecen a quien porte este equipo titanico."
"Titan Montura I.asset","Montura de Colossus Moles","Un corcel forjado con la esencia de los titanes que crearon el mundo."
"Titan Montura II.asset","Montura de Colossus Titanus","La montura titanica que puede cargar el peso de las monta\xF1as."
"Titan Montura III.asset","Montura de Colossus Colossus","El corcel de los titanes, que ha caminado sobre la tierra desde el"
